v_id,v_type
"CH Medical, Inc.",Company
"National Patient Care Systems, Inc.",Company
InnoServ Technologies,Company
SpectraCair,Company
Cost Containment Pressures,RiskFactor
IEC Electronics Corp.,Company
"Calidad Electronics, Inc.",Subsidiary
"IEC - Edinburg Texas, Inc.",Subsidiary
"Accutek, Inc.",Subsidiary
IEC Arab Alabama Inc.,Subsidiary
IEC Electronics - Ireland Limited,Subsidiary
Compaq Computer Corporation,Company
"Matrox Graphics, Inc.",Company
"Symbol Techologies, Inc.",Company
Stratus Corporation,Company
"Seagate Techologies,Inc",Company
"MEDIQ/PRN Life Support Services, Inc.",Company
MEDIQ Incorporated,Company
"MEDIQ Management Services, Inc.",Subsidiary
MQ Acquisition Corporation,Company
"Bruckmann, Rosser, Sherrill & Co., L.P.",Company
Ferrer Freeman Thompson & Co. LLC,Company
"Galen Partners, III L.P.",Company
SpectraCair,Subsidiary
"CH Industries, Inc.",Company
"CH Medical, Inc.",Subsidiary
"National Patient Care Systems, Inc.",Company
Increasing pressure to reduce operating costs and capital expenditures,RiskFactor
Cost containment pressures on health care providers,RiskFactor
Reduced reimbursement levels by Medicare and other third-party payors,RiskFactor
Legislative proposals leading to health care consolidations and managed care acceleration,RiskFactor
INTERSTATE JOHNSON LANE INC.,Company
CapTrust,Subsidiary
Highly Competitive Environment,RiskFactor
Marketplace Trading Volumes Volatility,RiskFactor
Interest Rate Conditions Volatility,RiskFactor
Revenue and Earnings Variability,RiskFactor
Significant Incremental Cash Requirements,RiskFactor
"Regulatory Liquidity and Capital Requirements (SEC, CFTC, NYSE)",RiskFactor
"Regulatory Liquidity and Capital Requirements (SEC, NASD)",RiskFactor
Year 2000 Technological Challenge,RiskFactor
Dependence on Third-Party Systems for Year 2000 Compliance,RiskFactor
Inflationary Effects,RiskFactor
"Flanigan's Enterprises, Inc.",Company
"Flanigan's Management Services, Inc.",Subsidiary
"Flanigan's Enterprises, Inc. of Georgia",Subsidiary
Seventh Street Corp.,Subsidiary
Big Daddy's #48 Inc.,Subsidiary
"Flanigan's Enterprises, Inc. of Pa.",Subsidiary
Bankruptcy,RiskFactor
Chairman of the Board,Executive
Subchapter S corporation (franchisee),Company
TCI INTERNATIONAL INC.,Company
Broadcast and Communications Division,Subsidiary
Signal Processing Division,Subsidiary
Test and Measurement Division,Subsidiary
Hewlett Packard,Company
Foreign Competitors,Company
Potential Loss from Operations in Fiscal 1999,RiskFactor
Contract Termination Risk,RiskFactor
Reduced US Government Demand (Post-Cold War),RiskFactor
"Declining Economies in Asia, Africa, Middle East",RiskFactor
Strong US Dollar Impacting Competitiveness,RiskFactor
Delay/Loss of Key Program Awards,RiskFactor
Delays in System Acceptance due to Customer Turnover,RiskFactor
Spartech Corporation,Company
Spartech Plastics,Subsidiary
Spartech Polycom,Subsidiary
Spartech Color,Subsidiary
Spartech Vy-Cal Plastics,Subsidiary
GenPak,Subsidiary
Hamelin Industries,Subsidiary
Spartech Profiles,Subsidiary
Product Components,Company
Pawnee Industries,Company
Portage Industries,Company
Hamelin Group,Company
Preferred Plastic Sheet Division of Echlin Inc.,Company
Echlin Inc.,Company
"Polycom Huntsman, Inc.",Company
"Prismaplast Canada, Ltd.",Company
"Anjac-Doron Plastics, Inc.",Company
"CMG Information Services, Inc.",Company
ADSmart Corporation,Subsidiary
"Engage Technologies, Inc.",Subsidiary
"Accipiter, Inc.",Subsidiary
InfoMation Publishing Corporation,Subsidiary
NaviSite Internet Services Corporation,Subsidiary
Planet Direct Corporation,Subsidiary
Password Internet Publishing Corporation,Subsidiary
"Magnitude Network, LLC",Company
"Open Market, Inc.",Company
NaviNet,Subsidiary
"CMG@Ventures I, LLC",Subsidiary
"Blaxxun Interactive, Inc.",Company
GeoCities,Company
"Lycos, Inc.",Company
Parable LLC,Company
Vicinity Corporation,Company
"CMG@Ventures II, LLC",Subsidiary
Chemdex Corporation,Company
Critical Path,Company
"KOZ, Inc.",Company
"Mother Nature's General Store, Inc.",Company
"Reel.com, Inc.",Company
"Sage Enterprises, Inc.",Company
"Silknet Software, Inc.",Company
"Softway Systems, Inc.",Company
Speech Machines plc,Company
TicketsLive Corporation,Company
Universal Learning Technology,Company
Visto Corporation,Company
"Amazon.com, Inc.",Company
Hollywood Entertainment Corporation,Company
"CMG@Ventures III, LLC",Subsidiary
"@Ventures III, L.P.",Company
SalesLink Corporation,Subsidiary
InSolutions Incorporated,Subsidiary
"On-Demand Solutions, Inc.",Subsidiary
Pacific Direct Marketing Corporation,Subsidiary
CMG Direct Corporation,Subsidiary
"Red Brick Systems, Inc.",Company
Salex Holding Corporation,Company
"Sun Associates, LLC",Company
Betty Sun,Executive
Pershing Sun,Executive
competition in the automobile asset management business,RiskFactor
inability to obtain additional financing,RiskFactor
general business and economic conditions,RiskFactor
PH&H Corp.,Company
GE Capital,Company
The Goodyear Tire and Rubber Company,Company
Jiffy Lube,Company
Virginia Surety,Company
Franklin Receivables LLC,Company
Franklin Auto Trust 1998-1,Company
The Chase Manhattan Bank,Company
IEC Electronics Corp.,Company
"Calidad Electronics, Inc.",Subsidiary
"IEC - Edinburg Texas, Inc.",Subsidiary
"Accutek, Inc.",Subsidiary
IEC Arab Alabama Inc.,Subsidiary
IEC Electronics - Ireland Limited,Subsidiary
Ohshima Manufacturing Limited,Company
Compaq Computer Corporation,Company
"Matrox Graphics, Inc.",Company
"Symbol Techologies, Inc.",Company
Stratus Corporation,Company
"Seagate Techologies,Inc",Company
"RICA FOODS, INC.",Company
Pipasa,Subsidiary
As de Oros,Subsidiary
Mr. Calixto Chaves,Executive
"Inversiones La Ribera, S.A.",Company
"Comercial Angui, S.A.",Company
Antonio Echeverria,Executive
Exchange Rate Risk,RiskFactor
Foreign Competition,RiskFactor
Commodity Price Volatility,RiskFactor
Restaurantes As de Oros,Company
GLOBAL ENVIRONMENTAL CORP.,Company
Danzer,Subsidiary
Duncan-Smith Company,Company
Fremont Financial Corporation,Company
Weakened Financial Condition,RiskFactor
Tighter Credit Terms,RiskFactor
Need for Capital Infusion,RiskFactor
Dependency on Future Success,RiskFactor
Year 2000 Problem,RiskFactor
Major Service Provider System Failure,RiskFactor
MATLACK SYSTEMS INC.,Company
Qualcomm,Company
Comdata,Company
Chemical Manufacturers Association,Company
Competitive Labor Environment,RiskFactor
Increased Environmental Compliance Costs,RiskFactor
Legal Action Settlement,RiskFactor
Potential Change in Ownership,RiskFactor
High Debt Levels,RiskFactor
Declining Demand for Transport,RiskFactor
General Economic Conditions,RiskFactor
Competitive Pressures,RiskFactor
Market Demand Shifts,RiskFactor
Industry Performance and Needs,RiskFactor
Equipment Utilization Challenges,RiskFactor
New Service Development Risk,RiskFactor
Increased Labor Costs,RiskFactor
Increased Operating Costs,RiskFactor
Litigation Uncertainties,RiskFactor
Financing Risk,RiskFactor
Insurance Availability Risk,RiskFactor
Project Completion Risk,RiskFactor
Management Retention Risk,RiskFactor
Regulatory Changes,RiskFactor
Y2K Compliance Risk,RiskFactor
Satellite System Failure,RiskFactor
Business Partner Y2K Compliance Risk,RiskFactor
First Golden American Life Insurance Co of New York,Subsidiary
Equitable of Iowa Companies,Company
"PFHI Holdings, Inc.",Subsidiary
ING Groep N.V.,Company
Equitable Life Insurance Company of Iowa,Subsidiary
Golden American,Subsidiary
"Locust Street Securities, Inc.",Subsidiary
"Equitable Investment Services, Inc.",Subsidiary
"Directed Services, Inc.",Subsidiary
Equitable of Iowa Companies Capital Trust,Subsidiary
Equitable of Iowa Companies Capital Trust II,Subsidiary
"Equitable of Iowa Securities Network, Inc.",Subsidiary
"Equitable of Iowa Companies, Inc.",Subsidiary
Discontinuation of sales relationship by significant distributor,RiskFactor
Changes in acquisition cost allocation,RiskFactor
Impairment of goodwill,RiskFactor
Variability in amortization based on allocation and assumptions,RiskFactor
Risk of loss from below investment grade securities,RiskFactor
Sensitivity of below investment grade securities to adverse economic conditions,RiskFactor
Future write-downs of securities,RiskFactor
Material adverse effect on net income from significant write-downs,RiskFactor
IEC Electronics Corp.,Company
"IEC - Edinburg Texas, Inc.",Subsidiary
IEC Arab Alabama Inc.,Subsidiary
IEC Electronics - Ireland Limited,Subsidiary
Compaq Computer Corporation,Company
"Matrox Graphics, Inc.",Company
"Symbol Techologies, Inc.",Company
Stratus Corporation,Company
"Seagate Techologies,Inc",Company
Ohshima Manufacturing Limited,Company
RESOURCE AMERICA INC.,Company
Resource Asset Investment Trust,Company
"The Atlas Group, Inc.",Subsidiary
"Hynes & Howes Insurance Counselors, Inc.",Company
Highly Competitive Market,RiskFactor
Ralph Parry Insurance Agency Ltd.,Company
Davenport Agency,Subsidiary
Viking Agency,Company
"Hansen and Hansen, Inc.",Company
"R.A.P. Enterprises, Inc.",Company
Ralph A. Parry,Executive
Low Liquidity,RiskFactor
Decreased Operating Income,RiskFactor
VSI HOLDINGS INC.,Company
The Performance Systems Group,Subsidiary
Martin S. Suchik,Executive
"Advanced Animations, Inc.",Subsidiary
"Steve Toth, Jr.",Executive
"BKNT Retail Stores, Inc.",Subsidiary
"Vispac, Inc.",Subsidiary
"Visual Services, Inc.",Subsidiary
Ford Motor Company,Company
General Motors,Company
Nissan,Company
Difficulty in recruiting qualified employees,RiskFactor
Loss of major customers,RiskFactor
Uncertainty of continued customer relationships,RiskFactor
Irvine Sensors Corporation,Company
"Novalog, Inc.",Subsidiary
"MicroSensors, Inc.",Subsidiary
"Imagek, Inc.",Subsidiary
IBM,Company
Infrared Data Association,Company
SRI Consulting,Company
"EG&G Astrophysics, Inc.",Company
Boeing Corporation,Company
R & D Leasing Ltd.,Company
Uncertainty of Imagek financing,RiskFactor
Uncertainty of widespread market success for stacked memory products,RiskFactor
Cost disadvantage due to unestablished high volume production costs,RiskFactor
Uncertainty of neural network chip set development success,RiskFactor
Uncertainty of NeoStack commercialization timeline,RiskFactor
"General DataComm Industries, Inc.",Company
VITAL Network Services LLC,Subsidiary
Bell Canada,Company
GTE,Company
Cignal Global Communications,Company
AT&T,Company
MCI,Company
Sprint,Company
American Airlines,Company
Citicorp,Company
EDS,Company
Cemex,Company
Chicago Board of Trade,Company
Impsat,Company
Telefonos de Mexico,Company
France Telecom,Company
Deutsche Telekom,Company
Lucent Technologies,Company
LM Ericsson,Company
Austrian PTT,Company
Mayo Clinic,Company
Burlington Northern Santa Fe,Company
Netherlands PTT,Company
Telefonica de Espana,Company
Telia,Company
RADIATION DISPOSAL SYSTEMS INC.,Company
Manuel E. Kane,Executive
Albert D. Kane,Executive
Ultrox International,Company
Para Oxidation,Company
PCI Ozone Corporation,Company
"Griffin Technics, Inc.",Company
Henkel Corporation,Company
"Brown-Bovari, Inc.",Company
"Steven M. Kane, Inc.",Company
Steven Kane,Executive
"Pillar Technologies, Inc.",Company
"Gram Research & Development Co., Inc.",Company
Sherman T. Mayne,Executive
Inability to Market Products,RiskFactor
Lack of Significant Revenues,RiskFactor
Cessation of Operations,RiskFactor
Lack of Working Capital and Revenue Prospects,RiskFactor
Uncertainty of Future Operations,RiskFactor
Limited Market Acceptance of Ozone Technology,RiskFactor
Undeveloped Market for Waste Treatment Technology,RiskFactor
Competition from Established Firms,RiskFactor
Negligible Market Position,RiskFactor
Ineffective Sales Agreements,RiskFactor
Inactive Marketing Efforts,RiskFactor
Insufficient Production Personnel,RiskFactor
Supplier Dependence and Production Delays,RiskFactor
Single Source Supplier Dependence (Pillar),RiskFactor
Lapse of Patents due to Insufficient Funds,RiskFactor
Burdensome Environmental Regulations,RiskFactor
High Cost of Radioactive Waste Disposal,RiskFactor
Uneconomical Process,RiskFactor
Costly Regulatory Modifications and Insufficient Funds,RiskFactor
Future Adverse Government Regulations,RiskFactor
"Royal Palm Beach Colony, Limited Partnership",Company
"Royal Palm Beach Colony, Inc.",Company
"Regency Homes, Inc.",Company
RTL Realty,Company
"Stein Management Company, Inc.",Company
Hasam Realty Limited Partnership,Company
Union Bank,Company
Randy Rieger,Executive
Jack Friedland,Executive
Uncertainty of future cash distribution,RiskFactor
Reduction in sales revenues,RiskFactor
Cash requirements for land development,RiskFactor
Cash expenditures for transactions and operations,RiskFactor
Bank financing repayment obligations,RiskFactor
Increased cost due to regulatory changes,RiskFactor
Highly competitive real estate market,RiskFactor
Competition affecting property sales,RiskFactor
Cyclical real estate market,RiskFactor
Interest rate increases,RiskFactor
Uncertain South Florida real estate market conditions,RiskFactor
Competition from other developers in South Florida,RiskFactor
Litigation over building permits,RiskFactor
Contingent land sales,RiskFactor
"Mesa Air Group, Inc.",Company
"Mesa Airlines, Inc.",Subsidiary
"America West Airlines, Inc.",Company
"USAirways, Inc.",Company
"Air Midwest, Inc.",Subsidiary
"WestAir Holdings, Inc.",Subsidiary
"WestAir Commuter Airlines, Inc.",Subsidiary
"MPD, Inc.",Subsidiary
"Regional Aircraft Services, Inc.",Subsidiary
"FCA, Inc.",Subsidiary
"Mesa Leasing, Inc.",Subsidiary
"MAGI Insurance, Ltd.",Subsidiary
"CCAIR, Inc.",Company
Termination of Code-Sharing Agreements,RiskFactor
Great Lakes Aviation,Company
SkyWest Airlines,Company
United Airlines,Company
"Tidel Technologies, Inc.",Company
"Tidel Engineering, Inc.",Company
3CI Complete Compliance Corporation,Subsidiary
"Diebold, Incorporated",Company
NCR Corporation,Company
"Triton Systems, Inc.",Company
Fujitsu Corporation,Company
Siemens-Nixdorf,Company
NKL Industries,Company
McGunn Safe Company,Company
Armor Safe Company,Company
AutoVend,Company
Inadequate Patent Protection,RiskFactor
Patent Challenge Risk,RiskFactor
Patent Infringement Risk,RiskFactor
Third-Party Patent Rights Impact,RiskFactor
Competitor Patent Acquisition,RiskFactor
Trade Secret Loss,RiskFactor
3CI Complete Compliance Corporation,Company
"Springhill, Louisiana Facility",Company
"Birmingham, Alabama Location",Company
"Austin, Texas Facility",Company
"City of Carthage, Texas",Company
"City of Center, Texas",Company
Technological Obsolescence,RiskFactor
"Diasense, Inc.",Company
"Biocontrol Technology, Inc.",Company
U.S. Food and Drug Administration,Company
Battelle Memorial Institute,Company
TUV Rheinland,Company
Children's Hospital,Company
Rush North Shore,Company
Westmoreland Hospital,Company
Lutheran General Hospital,Company
Holy Family Hospital,Company
Indiana Hospital,Company
European Community,Company
European Committee for Standardization,Company
Delays in FDA Marketing Approval,RiskFactor
Uncertainty of Future Funding,RiskFactor
"Reliance on Biocontrol Technology, Inc.",RiskFactor
Competition and Product Obsolescence,RiskFactor
Dependence on Single Technology,RiskFactor
Continued Operating Losses and Negative Net Worth,RiskFactor
Potential Conflicts of Interest,RiskFactor
"Risks to Patents, Trademarks, and Licenses",RiskFactor
Uncertainty of Third-Party Payor Reimbursement,RiskFactor
"Limited Sales, Marketing, and Manufacturing Experience",RiskFactor
Difficulty Attracting and Retaining Key Employees,RiskFactor
Product Liability,RiskFactor
Uncertain Outcome of Pending Lawsuits,RiskFactor
Absence of Public Market for Common Stock,RiskFactor
Control by Existing Shareholders,RiskFactor
Dilution of Common Stock,RiskFactor
Limited Marketability of Diasensorr 1000,RiskFactor
Cash Flow Problems,RiskFactor
Slowed Testing Pace,RiskFactor
Necessity of FDA Approval for US Market,RiskFactor
Regulatory Process for Diasensorr 2000,RiskFactor
High Sales Price Limiting Sales,RiskFactor
STARCRAFT CORP /IN/,Company
"Imperial Automotive Group, Inc.",Subsidiary
National Mobility Corporation,Subsidiary
"Tecstar, Inc.",Company
"Starcraft Automotive Group, Inc.",Subsidiary
"Imperial Industries, Inc.",Company
Star Tank Company,Company
Starcraft Van Conversions Corporation,Company
GMC Truck,Company
Chevrolet,Company
Dodge,Company
Ford,Company
General Motors,Company
"Mitsui and Co. (U.S.A.), Inc.",Company
Increased popularity of SUVs and factory minivans,RiskFactor
Price pressure from higher chassis costs,RiskFactor
Lower conversion inventory on dealer lots,RiskFactor
Fewer automotive dealers selling conversion products,RiskFactor
Changing level of dealer support,RiskFactor
Strengthening of the U.S. dollar,RiskFactor
Financial turmoil in Asian markets,RiskFactor
Cyclical nature of the conversion industry,RiskFactor
Consumer preferences for sport utility vehicles,RiskFactor
Level of disposable consumer income,RiskFactor
Availability and price of gasoline,RiskFactor
Level of interest rates and availability of consumer financing,RiskFactor
Decline in general economic conditions or consumer confidence,RiskFactor
Dependence on OEMs for vehicle chassis,RiskFactor
Decline in the conversion industry and Company sales,RiskFactor
"CMG Information Services, Inc.",Company
ADSmart Corporation,Subsidiary
"Engage Technologies, Inc.",Subsidiary
"Accipiter, Inc.",Subsidiary
InfoMation Publishing Corporation,Subsidiary
NaviSite Internet Services Corporation,Subsidiary
Planet Direct Corporation,Subsidiary
Password Internet Publishing Corporation,Subsidiary
"Magnitude Network, LLC",Company
"Open Market, Inc.",Company
"CMG@Ventures I, LLC",Subsidiary
"Blaxxun Interactive, Inc.",Company
GeoCities,Company
"Lycos, Inc.",Company
Parable LLC,Company
Vicinity Corporation,Company
"CMG@Ventures II, LLC",Subsidiary
Chemdex Corporation,Company
Critical Path,Company
"KOZ, Inc.",Company
"Mother Nature's General Store, Inc.",Company
"Reel.com, Inc.",Company
"Sage Enterprises, Inc.",Company
"Silknet Software, Inc.",Company
"Softway Systems, Inc.",Company
Speech Machines plc,Company
TicketsLive Corporation,Company
Universal Learning Technology,Company
Visto Corporation,Company
"CMG@Ventures III, LLC",Subsidiary
"@Ventures III, L.P.",Company
SalesLink Corporation,Subsidiary
InSolutions Incorporated,Subsidiary
"On-Demand Solutions, Inc.",Subsidiary
Pacific Direct Marketing Corporation,Subsidiary
CMG Direct Corporation,Subsidiary
NaviNet,Subsidiary
Covol Technologies Inc.,Company
"Cynsulo, Inc.",Company
McParkland Corporation,Company
"McParkland Properties, Inc.",Company
"Riverbed Enterprises, Inc.",Company
Enviro-Fuels Technology,Company
Environmental Technologies Group International,Company
Dow Chemical Company,Company
Inability to implement applications profitably,RiskFactor
Inability to utilize tax benefits,RiskFactor
Feedstock supply risk,RiskFactor
Production quality risk,RiskFactor
Product marketing risk,RiskFactor
"Lynton Group, Inc.",Company
"Ramapo Helicopters, Inc.",Subsidiary
"Lynton Aircraft Maintenance Services, Inc.",Subsidiary
"Rockland Aviation, Inc.",Subsidiary
"Lynton Aviation Charter, Inc.",Subsidiary
"LynStar Aviation, Inc.",Subsidiary
"LynStar Holdings, Inc.",Company
Lynton Group Limited,Subsidiary
Lynton Aviation Limited,Subsidiary
European Helicopters Limited,Subsidiary
Magec Aviation Limited,Subsidiary
Air Hanson Limited,Subsidiary
"Lynton Jet Centre, Inc.",Subsidiary
"Lynton Aviation, Inc.",Subsidiary
"Lynton Aviation Services, Inc.",Subsidiary
Dollar Air Services Limited,Subsidiary
Black Isle Helicopters Limited,Subsidiary
"Lynton Properties, Inc.",Subsidiary
PLM Dollar Group Limited,Company
Air Hanson Engineering Limited,Subsidiary
Air Hanson Aircraft Sales Limited,Subsidiary
Loss of CAA/Manufacturer Certificates/Licenses for EHL/Air Hanson Engineering,RiskFactor
Loss of CAA/Manufacturer Certificates/Licenses for Magec,RiskFactor
"General Automation, Inc.",Company
General Automation LLC,Subsidiary
General Automation Canada Subsidiary,Subsidiary
General Automation Australia Subsidiary,Subsidiary
General Automation UK Subsidiary,Subsidiary
"Texas Micro, Inc.",Company
"Sequoia Systems, Inc.",Company
Boundless Technologies,Company
SunRiver Data Systems,Company
Comerica Bank,Company
Wang,Company
AT&T,Company
IBM,Company
Data General Corporation,Company
Digital Equipment Corporation,Company
Hewlett Packard Company,Company
Ardent,Company
Pick Systems,Company
"Microsoft, Inc.",Company
Going Concern Qualification,RiskFactor
Recent Operating Losses,RiskFactor
Deficit Net Worth,RiskFactor
Working Capital Deficiency,RiskFactor
Cash Flow Constraints,RiskFactor
Obligations to TMI in Default,RiskFactor
Obligations to Boundless in Default,RiskFactor
Limited Market for the Company's Stock,RiskFactor
Competition Risk,RiskFactor
RCM TECHNOLOGIES INC.,Company
The Consortium,Subsidiary
"The Consortium of Maryland, Inc.",Subsidiary
"Performance Staffing, Inc.",Subsidiary
"Programming Alternatives of Minnesota, Inc.",Subsidiary
"Biomune Systems, Inc.",Company
"Optim Nutrition, Inc.",Subsidiary
"Rockwood Companies, LLC",Subsidiary
Bioxide Corporation,Company
"Frank A. Eldredge, Ph.D.",Executive
"David O. Lucas, Ph.D.",Executive
"Craig D. Moffat, M.D.",Executive
Clinimetric Research Associates,Company
St. Francis Memorial Hospital,Company
East Bay AIDS Clinic,Company
St. Lukes-Roosevelt Hospital Center,Company
Associates in Medical and Mental Health,Company
Limited access to funding for future research and development,RiskFactor
Highly competitive market for nutrition supplements,RiskFactor
Limited financial resources,RiskFactor
Risk of reduced ownership interest in Rockwood due to unfulfilled loan covenants,RiskFactor
Inability to obtain additional financing,RiskFactor
Inability to increase product sales,RiskFactor
NORTH EUROPEAN OIL ROYALTY TRUST,Company
Mobil Corp.,Company
Exxon Corp.,Company
Royal Dutch Group,Company
North European Oil Company,Company
North European Oil Corporation,Company
John H. Van Kirk,Executive
John R. Van Kirk,Executive
BEB,Company
Mobil (German Operating Company),Subsidiary
German Subsidiaries of Exxon Corp.,Subsidiary
German Subsidiaries of Royal Dutch Group,Subsidiary
The Bank of New York,Company
Deutsche Bank,Company
Registrar and Transfer Company,Company
Termination of Royalty Rights,RiskFactor
Speculative Business,RiskFactor
Uncertainty of Future Income,RiskFactor
Fluctuations in Gas and Oil Prices/Supplies,RiskFactor
Environmental Regulations Impact,RiskFactor
Unforeseeable Economic and Political Factors,RiskFactor
Currency Exchange Rate Fluctuations,RiskFactor
Y2K Computer Compliance Issues,RiskFactor
Celsion Corporation,Company
Massachusetts Institute of Technology,Company
Food and Drug Administration,Company
Massachusetts General Hospital,Company
Oxford University,Company
Hammersmith Hospital,Company
Dr. Gerald Wolf,Executive
Columbia HCA's JFK Hospital,Company
Duke University,Company
"MMTC, Inc.",Company
American Cancer Society,Company
Difficulty delivering controlled heat without burning healthy tissue,RiskFactor
Need for new FDA indication for breast tumor ablation,RiskFactor
Pentech International Inc.,Company
Sawdust Pencil Co.,Subsidiary
Bic Pen Company,Company
Papermate,Company
"RoseArt Industries, Inc.",Company
Newell,Company
Product Shortages,RiskFactor
Dumping Duties,RiskFactor
Increased Raw Material Costs,RiskFactor
Increased Dumping Duties,RiskFactor
Minimum Royalty Payments Leading to Losses,RiskFactor
Loss of Major Customer,RiskFactor
Bad Debts from Customers,RiskFactor
Failure to Register Trademarks,RiskFactor
Intense Competition,RiskFactor
