source,target,e_type
Salex Holding Corporation,inability to obtain additional financing,FACES_RISK
Salex Holding Corporation,general business and economic conditions,FACES_RISK
Salex Holding Corporation,PH&H Corp.,COMPETES_WITH
Salex Holding Corporation,GE Capital,COMPETES_WITH
Franklin Receivables LLC,Franklin Auto Trust 1998-1,OWNS
IEC Electronics Corp.,"Calidad Electronics, Inc.",OWNS
IEC Electronics Corp.,"IEC - Edinburg Texas, Inc.",OWNS
IEC Electronics Corp.,"Accutek, Inc.",OWNS
IEC Electronics Corp.,IEC Arab Alabama Inc.,OWNS
IEC Electronics Corp.,IEC Electronics - Ireland Limited,OWNS
"RICA FOODS, INC.",Pipasa,OWNS
"RICA FOODS, INC.",As de Oros,OWNS
"RICA FOODS, INC.",Mr. Calixto Chaves,EMPLOYS
"Inversiones La Ribera, S.A.",Pipasa,OWNS
"Comercial Angui, S.A.",As de Oros,OWNS
Antonio Echeverria,"Comercial Angui, S.A.",OWNS
As de Oros,Restaurantes As de Oros,OWNS
"RICA FOODS, INC.",Exchange Rate Risk,FACES_RISK
"RICA FOODS, INC.",Foreign Competition,FACES_RISK
"RICA FOODS, INC.",Commodity Price Volatility,FACES_RISK
Pipasa,As de Oros,COMPETES_WITH
GLOBAL ENVIRONMENTAL CORP.,Danzer,OWNS
GLOBAL ENVIRONMENTAL CORP.,Weakened Financial Condition,FACES_RISK
GLOBAL ENVIRONMENTAL CORP.,Tighter Credit Terms,FACES_RISK
GLOBAL ENVIRONMENTAL CORP.,Need for Capital Infusion,FACES_RISK
GLOBAL ENVIRONMENTAL CORP.,Dependency on Future Success,FACES_RISK
GLOBAL ENVIRONMENTAL CORP.,Year 2000 Problem,FACES_RISK
GLOBAL ENVIRONMENTAL CORP.,Major Service Provider System Failure,FACES_RISK
MATLACK SYSTEMS INC.,Competitive Labor Environment,FACES_RISK
MATLACK SYSTEMS INC.,Increased Environmental Compliance Costs,FACES_RISK
MATLACK SYSTEMS INC.,Legal Action Settlement,FACES_RISK
MATLACK SYSTEMS INC.,Potential Change in Ownership,FACES_RISK
MATLACK SYSTEMS INC.,High Debt Levels,FACES_RISK
MATLACK SYSTEMS INC.,Declining Demand for Transport,FACES_RISK
MATLACK SYSTEMS INC.,General Economic Conditions,FACES_RISK
MATLACK SYSTEMS INC.,Competitive Pressures,FACES_RISK
MATLACK SYSTEMS INC.,Market Demand Shifts,FACES_RISK
MATLACK SYSTEMS INC.,Industry Performance and Needs,FACES_RISK
MATLACK SYSTEMS INC.,Equipment Utilization Challenges,FACES_RISK
MATLACK SYSTEMS INC.,New Service Development Risk,FACES_RISK
MATLACK SYSTEMS INC.,Increased Labor Costs,FACES_RISK
MATLACK SYSTEMS INC.,Increased Operating Costs,FACES_RISK
MATLACK SYSTEMS INC.,Litigation Uncertainties,FACES_RISK
MATLACK SYSTEMS INC.,Financing Risk,FACES_RISK
MATLACK SYSTEMS INC.,Insurance Availability Risk,FACES_RISK
MATLACK SYSTEMS INC.,Project Completion Risk,FACES_RISK
MATLACK SYSTEMS INC.,Management Retention Risk,FACES_RISK
MATLACK SYSTEMS INC.,Regulatory Changes,FACES_RISK
MATLACK SYSTEMS INC.,Y2K Compliance Risk,FACES_RISK
MATLACK SYSTEMS INC.,Satellite System Failure,FACES_RISK
MATLACK SYSTEMS INC.,Business Partner Y2K Compliance Risk,FACES_RISK
ING Groep N.V.,"PFHI Holdings, Inc.",OWNS
ING Groep N.V.,"Equitable of Iowa Companies, Inc.",OWNS
"Equitable of Iowa Companies, Inc.",Equitable Life Insurance Company of Iowa,OWNS
"Equitable of Iowa Companies, Inc.",Golden American,OWNS
"Equitable of Iowa Companies, Inc.","Locust Street Securities, Inc.",OWNS
"Equitable of Iowa Companies, Inc.","Equitable Investment Services, Inc.",OWNS
"Equitable of Iowa Companies, Inc.","Directed Services, Inc.",OWNS
"Equitable of Iowa Companies, Inc.",Equitable of Iowa Companies Capital Trust,OWNS
"Equitable of Iowa Companies, Inc.",Equitable of Iowa Companies Capital Trust II,OWNS
"Equitable of Iowa Companies, Inc.","Equitable of Iowa Securities Network, Inc.",OWNS
Golden American,First Golden American Life Insurance Co of New York,OWNS
First Golden American Life Insurance Co of New York,Discontinuation of sales relationship by significant distributor,FACES_RISK
First Golden American Life Insurance Co of New York,Changes in acquisition cost allocation,FACES_RISK
First Golden American Life Insurance Co of New York,Impairment of goodwill,FACES_RISK
First Golden American Life Insurance Co of New York,Variability in amortization based on allocation and assumptions,FACES_RISK
First Golden American Life Insurance Co of New York,Risk of loss from below investment grade securities,FACES_RISK
First Golden American Life Insurance Co of New York,Sensitivity of below investment grade securities to adverse economic conditions,FACES_RISK
First Golden American Life Insurance Co of New York,Future write-downs of securities,FACES_RISK
First Golden American Life Insurance Co of New York,Material adverse effect on net income from significant write-downs,FACES_RISK
IEC Electronics Corp.,"IEC - Edinburg Texas, Inc.",OWNS
IEC Electronics Corp.,IEC Arab Alabama Inc.,OWNS
IEC Electronics Corp.,IEC Electronics - Ireland Limited,OWNS
RESOURCE AMERICA INC.,Resource Asset Investment Trust,OWNS
RESOURCE AMERICA INC.,"The Atlas Group, Inc.",OWNS
"Hynes & Howes Insurance Counselors, Inc.",Highly Competitive Market,FACES_RISK
"Hynes & Howes Insurance Counselors, Inc.",Davenport Agency,OWNS
Ralph Parry Insurance Agency Ltd.,Davenport Agency,OWNS
"R.A.P. Enterprises, Inc.",Viking Agency,OWNS
"R.A.P. Enterprises, Inc.","Hansen and Hansen, Inc.",OWNS
"Hynes & Howes Insurance Counselors, Inc.",Ralph A. Parry,EMPLOYS
Davenport Agency,Ralph A. Parry,EMPLOYS
"R.A.P. Enterprises, Inc.",Ralph A. Parry,EMPLOYS
Ralph A. Parry,"R.A.P. Enterprises, Inc.",OWNS
Ralph A. Parry,Ralph Parry Insurance Agency Ltd.,OWNS
"Hynes & Howes Insurance Counselors, Inc.",Low Liquidity,FACES_RISK
"Hynes & Howes Insurance Counselors, Inc.",Decreased Operating Income,FACES_RISK
VSI HOLDINGS INC.,The Performance Systems Group,OWNS
VSI HOLDINGS INC.,"Advanced Animations, Inc.",OWNS
VSI HOLDINGS INC.,"BKNT Retail Stores, Inc.",OWNS
VSI HOLDINGS INC.,"Vispac, Inc.",OWNS
VSI HOLDINGS INC.,"Visual Services, Inc.",OWNS
VSI HOLDINGS INC.,"Steve Toth, Jr.",EMPLOYS
VSI HOLDINGS INC.,Difficulty in recruiting qualified employees,FACES_RISK
VSI HOLDINGS INC.,Loss of major customers,FACES_RISK
VSI HOLDINGS INC.,Uncertainty of continued customer relationships,FACES_RISK
Irvine Sensors Corporation,"Novalog, Inc.",OWNS
Irvine Sensors Corporation,"MicroSensors, Inc.",OWNS
Irvine Sensors Corporation,"Imagek, Inc.",OWNS
"Imagek, Inc.",Uncertainty of Imagek financing,FACES_RISK
Irvine Sensors Corporation,Uncertainty of widespread market success for stacked memory products,FACES_RISK
Irvine Sensors Corporation,Cost disadvantage due to unestablished high volume production costs,FACES_RISK
Irvine Sensors Corporation,Uncertainty of neural network chip set development success,FACES_RISK
Irvine Sensors Corporation,Uncertainty of NeoStack commercialization timeline,FACES_RISK
"General DataComm Industries, Inc.",VITAL Network Services LLC,OWNS
RADIATION DISPOSAL SYSTEMS INC.,Manuel E. Kane,EMPLOYS
RADIATION DISPOSAL SYSTEMS INC.,Albert D. Kane,EMPLOYS
RADIATION DISPOSAL SYSTEMS INC.,Steven Kane,EMPLOYS
"Steven M. Kane, Inc.",Steven Kane,EMPLOYS
RADIATION DISPOSAL SYSTEMS INC.,Inability to Market Products,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Lack of Significant Revenues,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Cessation of Operations,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Lack of Working Capital and Revenue Prospects,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Uncertainty of Future Operations,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Limited Market Acceptance of Ozone Technology,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Undeveloped Market for Waste Treatment Technology,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Competition from Established Firms,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Negligible Market Position,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Ineffective Sales Agreements,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Inactive Marketing Efforts,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Insufficient Production Personnel,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Supplier Dependence and Production Delays,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Single Source Supplier Dependence (Pillar),FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Lapse of Patents due to Insufficient Funds,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Burdensome Environmental Regulations,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,High Cost of Radioactive Waste Disposal,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Uneconomical Process,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Costly Regulatory Modifications and Insufficient Funds,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Future Adverse Government Regulations,FACES_RISK
RADIATION DISPOSAL SYSTEMS INC.,Ultrox International,COMPETES_WITH
RADIATION DISPOSAL SYSTEMS INC.,Para Oxidation,COMPETES_WITH
RADIATION DISPOSAL SYSTEMS INC.,PCI Ozone Corporation,COMPETES_WITH
RADIATION DISPOSAL SYSTEMS INC.,"Griffin Technics, Inc.",COMPETES_WITH
RADIATION DISPOSAL SYSTEMS INC.,Henkel Corporation,COMPETES_WITH
RADIATION DISPOSAL SYSTEMS INC.,"Brown-Bovari, Inc.",COMPETES_WITH
"Stein Management Company, Inc.",Randy Rieger,EMPLOYS
RTL Realty,Randy Rieger,EMPLOYS
"Royal Palm Beach Colony, Limited Partnership",Uncertainty of future cash distribution,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Reduction in sales revenues,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Cash requirements for land development,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Cash expenditures for transactions and operations,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Bank financing repayment obligations,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Increased cost due to regulatory changes,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Highly competitive real estate market,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Competition affecting property sales,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Cyclical real estate market,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Interest rate increases,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Uncertain South Florida real estate market conditions,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Competition from other developers in South Florida,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Litigation over building permits,FACES_RISK
"Royal Palm Beach Colony, Limited Partnership",Contingent land sales,FACES_RISK
"Mesa Air Group, Inc.","Mesa Airlines, Inc.",OWNS
"Mesa Air Group, Inc.","Air Midwest, Inc.",OWNS
"Mesa Air Group, Inc.","WestAir Holdings, Inc.",OWNS
"Mesa Air Group, Inc.","MPD, Inc.",OWNS
"Mesa Air Group, Inc.","FCA, Inc.",OWNS
"Mesa Air Group, Inc.","Mesa Leasing, Inc.",OWNS
"Mesa Air Group, Inc.","MAGI Insurance, Ltd.",OWNS
"WestAir Holdings, Inc.","WestAir Commuter Airlines, Inc.",OWNS
"WestAir Holdings, Inc.","Regional Aircraft Services, Inc.",OWNS
"Mesa Air Group, Inc.",Termination of Code-Sharing Agreements,FACES_RISK
"Mesa Air Group, Inc.","CCAIR, Inc.",COMPETES_WITH
"Mesa Air Group, Inc.",Great Lakes Aviation,COMPETES_WITH
"Mesa Air Group, Inc.",SkyWest Airlines,COMPETES_WITH
"Mesa Air Group, Inc.",United Airlines,COMPETES_WITH
"Tidel Technologies, Inc.","Tidel Engineering, Inc.",OWNS
"Tidel Technologies, Inc.",3CI Complete Compliance Corporation,OWNS
"Tidel Technologies, Inc.","Diebold, Incorporated",COMPETES_WITH
"Tidel Technologies, Inc.",NCR Corporation,COMPETES_WITH
"Tidel Technologies, Inc.","Triton Systems, Inc.",COMPETES_WITH
"Tidel Technologies, Inc.",Fujitsu Corporation,COMPETES_WITH
"Tidel Technologies, Inc.",Siemens-Nixdorf,COMPETES_WITH
"Tidel Technologies, Inc.",NKL Industries,COMPETES_WITH
"Tidel Technologies, Inc.",McGunn Safe Company,COMPETES_WITH
"Tidel Technologies, Inc.",Armor Safe Company,COMPETES_WITH
"Tidel Technologies, Inc.",AutoVend,COMPETES_WITH
"Tidel Technologies, Inc.",Inadequate Patent Protection,FACES_RISK
"Tidel Technologies, Inc.",Patent Challenge Risk,FACES_RISK
"Tidel Technologies, Inc.",Patent Infringement Risk,FACES_RISK
"Tidel Technologies, Inc.",Third-Party Patent Rights Impact,FACES_RISK
"Tidel Technologies, Inc.",Competitor Patent Acquisition,FACES_RISK
"Tidel Technologies, Inc.",Trade Secret Loss,FACES_RISK
3CI Complete Compliance Corporation,"Springhill, Louisiana Facility",OWNS
3CI Complete Compliance Corporation,"Birmingham, Alabama Location",OWNS
3CI Complete Compliance Corporation,Technological Obsolescence,FACES_RISK
"Biocontrol Technology, Inc.","Diasense, Inc.",OWNS
"Diasense, Inc.",Delays in FDA Marketing Approval,FACES_RISK
"Biocontrol Technology, Inc.",Delays in FDA Marketing Approval,FACES_RISK
"Diasense, Inc.",Uncertainty of Future Funding,FACES_RISK
"Biocontrol Technology, Inc.",Uncertainty of Future Funding,FACES_RISK
"Diasense, Inc.","Reliance on Biocontrol Technology, Inc.",FACES_RISK
"Diasense, Inc.",Competition and Product Obsolescence,FACES_RISK
"Biocontrol Technology, Inc.",Competition and Product Obsolescence,FACES_RISK
"Diasense, Inc.",Dependence on Single Technology,FACES_RISK
"Diasense, Inc.",Continued Operating Losses and Negative Net Worth,FACES_RISK
"Biocontrol Technology, Inc.",Continued Operating Losses and Negative Net Worth,FACES_RISK
"Diasense, Inc.",Potential Conflicts of Interest,FACES_RISK
"Biocontrol Technology, Inc.",Potential Conflicts of Interest,FACES_RISK
"Diasense, Inc.","Risks to Patents, Trademarks, and Licenses",FACES_RISK
"Biocontrol Technology, Inc.","Risks to Patents, Trademarks, and Licenses",FACES_RISK
"Diasense, Inc.",Uncertainty of Third-Party Payor Reimbursement,FACES_RISK
"Biocontrol Technology, Inc.",Uncertainty of Third-Party Payor Reimbursement,FACES_RISK
"Diasense, Inc.","Limited Sales, Marketing, and Manufacturing Experience",FACES_RISK
"Biocontrol Technology, Inc.","Limited Sales, Marketing, and Manufacturing Experience",FACES_RISK
"Diasense, Inc.",Difficulty Attracting and Retaining Key Employees,FACES_RISK
"Biocontrol Technology, Inc.",Difficulty Attracting and Retaining Key Employees,FACES_RISK
"Diasense, Inc.",Product Liability,FACES_RISK
"Biocontrol Technology, Inc.",Product Liability,FACES_RISK
"Diasense, Inc.",Uncertain Outcome of Pending Lawsuits,FACES_RISK
"Biocontrol Technology, Inc.",Uncertain Outcome of Pending Lawsuits,FACES_RISK
"Diasense, Inc.",Absence of Public Market for Common Stock,FACES_RISK
"Diasense, Inc.",Control by Existing Shareholders,FACES_RISK
"Diasense, Inc.",Dilution of Common Stock,FACES_RISK
"Diasense, Inc.",Limited Marketability of Diasensorr 1000,FACES_RISK
"Diasense, Inc.",Cash Flow Problems,FACES_RISK
"Diasense, Inc.",Slowed Testing Pace,FACES_RISK
"Diasense, Inc.",Necessity of FDA Approval for US Market,FACES_RISK
"Biocontrol Technology, Inc.",Necessity of FDA Approval for US Market,FACES_RISK
"Diasense, Inc.",Regulatory Process for Diasensorr 2000,FACES_RISK
"Biocontrol Technology, Inc.",Regulatory Process for Diasensorr 2000,FACES_RISK
"Diasense, Inc.",High Sales Price Limiting Sales,FACES_RISK
STARCRAFT CORP /IN/,"Imperial Automotive Group, Inc.",OWNS
STARCRAFT CORP /IN/,National Mobility Corporation,OWNS
STARCRAFT CORP /IN/,"Starcraft Automotive Group, Inc.",OWNS
STARCRAFT CORP /IN/,"Tecstar, Inc.",OWNS
"Imperial Automotive Group, Inc.","Imperial Industries, Inc.",OWNS
STARCRAFT CORP /IN/,Increased popularity of SUVs and factory minivans,FACES_RISK
STARCRAFT CORP /IN/,Price pressure from higher chassis costs,FACES_RISK
STARCRAFT CORP /IN/,Lower conversion inventory on dealer lots,FACES_RISK
STARCRAFT CORP /IN/,Fewer automotive dealers selling conversion products,FACES_RISK
STARCRAFT CORP /IN/,Changing level of dealer support,FACES_RISK
STARCRAFT CORP /IN/,Strengthening of the U.S. dollar,FACES_RISK
STARCRAFT CORP /IN/,Financial turmoil in Asian markets,FACES_RISK
STARCRAFT CORP /IN/,Cyclical nature of the conversion industry,FACES_RISK
STARCRAFT CORP /IN/,Consumer preferences for sport utility vehicles,FACES_RISK
STARCRAFT CORP /IN/,Level of disposable consumer income,FACES_RISK
STARCRAFT CORP /IN/,Availability and price of gasoline,FACES_RISK
STARCRAFT CORP /IN/,Level of interest rates and availability of consumer financing,FACES_RISK
STARCRAFT CORP /IN/,Decline in general economic conditions or consumer confidence,FACES_RISK
STARCRAFT CORP /IN/,Dependence on OEMs for vehicle chassis,FACES_RISK
STARCRAFT CORP /IN/,Decline in the conversion industry and Company sales,FACES_RISK
"CMG Information Services, Inc.",ADSmart Corporation,OWNS
"CMG Information Services, Inc.","Engage Technologies, Inc.",OWNS
"CMG Information Services, Inc.","Accipiter, Inc.",OWNS
"CMG Information Services, Inc.",InfoMation Publishing Corporation,OWNS
"CMG Information Services, Inc.",NaviSite Internet Services Corporation,OWNS
"CMG Information Services, Inc.",Planet Direct Corporation,OWNS
"CMG Information Services, Inc.",Password Internet Publishing Corporation,OWNS
"CMG Information Services, Inc.","Magnitude Network, LLC",OWNS
"CMG Information Services, Inc.","Open Market, Inc.",OWNS
"CMG Information Services, Inc.","CMG@Ventures I, LLC",OWNS
"CMG@Ventures I, LLC","Blaxxun Interactive, Inc.",OWNS
"CMG@Ventures I, LLC",GeoCities,OWNS
"CMG@Ventures I, LLC","Lycos, Inc.",OWNS
"CMG@Ventures I, LLC",Parable LLC,OWNS
"CMG@Ventures I, LLC",Vicinity Corporation,OWNS
"CMG Information Services, Inc.","CMG@Ventures II, LLC",OWNS
"CMG@Ventures II, LLC",Chemdex Corporation,OWNS
"CMG@Ventures II, LLC",Critical Path,OWNS
"CMG@Ventures II, LLC",GeoCities,OWNS
"CMG@Ventures II, LLC","KOZ, Inc.",OWNS
"CMG@Ventures II, LLC","Mother Nature's General Store, Inc.",OWNS
"CMG@Ventures II, LLC",Parable LLC,OWNS
"CMG@Ventures II, LLC","Reel.com, Inc.",OWNS
"CMG@Ventures II, LLC","Sage Enterprises, Inc.",OWNS
"CMG@Ventures II, LLC","Silknet Software, Inc.",OWNS
"CMG@Ventures II, LLC","Softway Systems, Inc.",OWNS
"CMG@Ventures II, LLC",Speech Machines plc,OWNS
"CMG@Ventures II, LLC",TicketsLive Corporation,OWNS
"CMG@Ventures II, LLC",Universal Learning Technology,OWNS
